total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
32,10300,18,24,5,2081,6100,17,Team Vitality,271341,76561197989744167,apEX
32,2650,20,22,7,2749,5800,17,Team Vitality,271341,76561197978835160,flameZ
32,1050,21,21,6,2093,5400,15,3DMAX,271341,76561198045739761,Maka
32,9300,21,19,4,2437,5800,17,Team Vitality,271341,76561197991272318,ropz
32,50,29,21,7,2889,5100,15,3DMAX,271341,76561198168198200,Ex3rcice
33,6900,26,18,10,2730,5800,15,3DMAX,281309,76561198031890115,Lucky
33,6900,20,25,7,2323,5800,15,3DMAX,281309,76561198179538505,Graviti
33,7600,27,21,4,2595,5100,18,Team Vitality,281309,76561197973140692,mezii
33,5050,25,21,7,2813,7450,18,Team Vitality,281309,76561198113666193,ZywOo
33,6900,12,27,9,1649,5800,15,3DMAX,281309,76561198047876970,Djoko
33,7800,19,25,6,2244,5100,18,Team Vitality,281309,76561197989744167,apEX
33,7600,22,23,7,2899,5100,18,Team Vitality,281309,76561197978835160,flameZ
33,4350,22,22,6,2126,7850,15,3DMAX,281309,76561198045739761,Maka
33,7400,21,19,4,2437,5100,18,Team Vitality,281309,76561197991272318,ropz
33,6600,29,22,7,2915,5900,15,3DMAX,281309,76561198168198200,Ex3rcice
34,9750,28,18,11,2986,5800,16,3DMAX,286708,76561198031890115,Lucky
34,9950,21,25,7,2423,5600,16,3DMAX,286708,76561198179538505,Graviti
34,4600,27,22,4,2598,5100,18,Team Vitality,286708,76561197973140692,mezii
34,2050,25,22,7,2813,5100,18,Team Vitality,286708,76561198113666193,ZywOo
34,8950,13,27,9,1693,5900,16,3DMAX,286708,76561198047876970,Djoko
34,4800,19,26,6,2247,5100,18,Team Vitality,286708,76561197989744167,apEX
34,4600,22,24,7,2998,5100,18,Team Vitality,286708,76561197978835160,flameZ
34,6300,22,22,6,2126,7950,16,3DMAX,286708,76561198045739761,Maka
34,4400,21,20,4,2464,5100,18,Team Vitality,286708,76561197991272318,ropz
34,8350,30,22,7,3015,6100,16,3DMAX,286708,76561198168198200,Ex3rcice
